id,title,description,link,image_link,availability,price,condition,brand,google_product_category
alienware-aurora-r14,Alienware Aurora R14,"Repasovaný PC Alienware Aurora R14: Ryzen 9 5900X, RTX 3080 10GB, 32GB DDR4, 1TB NVMe, Windows 11 Pro. Otestované, so zárukou a faktúrou od NANOERA s.r.o.",https://computrax.sk/index.html?pc=Alienware%20Aurora%20R14#ponuka,https://computrax.sk/og-image.png,in_stock,949.00 EUR,refurbished,Computrax,Electronics > Computers > Desktop Computers
hp-omen-40l,HP Omen 40L,"Repasovaný PC HP Omen 40L: Intel i7-12700K, RTX 3070 Ti, 16GB DDR4, 512GB + 1TB HDD, Windows 11 Pro. Otestované, so zárukou a faktúrou od NANOERA s.r.o.",https://computrax.sk/index.html?pc=HP%20Omen%2040L#ponuka,https://computrax.sk/og-image.png,in_stock,829.00 EUR,refurbished,Computrax,Electronics > Computers > Desktop Computers
dell-optiplex-7090,Dell OptiPlex 7090,"Repasovaný PC Dell OptiPlex 7090: Intel i5-10500, UHD Graphics, 16GB DDR4, 256GB SSD, Windows 11 Pro. Otestované, so zárukou a faktúrou od NANOERA s.r.o.",https://computrax.sk/index.html?pc=Dell%20OptiPlex%207090#ponuka,https://computrax.sk/og-image.png,in_stock,349.00 EUR,refurbished,Computrax,Electronics > Computers > Desktop Computers
